Game,Rank
Life is Strange,122
Overwatch,24
RuneScape,163
Conan Exiles,105
It Takes Two,70
Subnautica: Below Zero,34
Mario Kart 8 Deluxe,186
Tekken 7,170
Resident Evil 7 biohazard,74
Super Mario Party,106
Black Desert Online,58
Art,33
Guild Wars 2,197
World of Warcraft,13
Brawlhalla,84
Scavengers,136
Final Fantasy XIV Online,53
Talk Shows & Podcasts,35
Poker,45
PUBG Mobile,116
Night in the Woods,148
The Legend of Zelda: Breath of the Wild,157
Red Dead Redemption 2,98
Detroit: Become Human,196
Genshin Impact,25
Sekiro: Shadows Die Twice,198
PowerWash Simulator,171
The Last of Us Part II,167
Retro,52
Returnal,49
World of Warships,69
NieR Replicant ver.1.22474487139...,113
Raid: Shadow Legends,153
Age of Empires II,65
Sports,20
Days Gone,71
Eternal Return: Black Survival,111
Travel & Outdoors,73
DayZ,36
Super Mario Maker 2,132
Pok<U+00E9>mon Sword/Shield,68
iRacing,127
Hollow Knight,168
Food & Drink,78
Pok<U+00E9>mon Trading Card Game,125
Knight Online,169
Monster Hunter Rise,82
Don't Starve Together,135
Guilty Gear: Strive,103
Chivalry 2,141
The Elder Scrolls V: Skyrim,195
The Forest,179
F1 2020,96
Yu-Gi-Oh! Duel Links,188
The Binding of Isaac: Repentance,39
Pok<U+00E9>mon GO,193
Jump King,152
SnowRunner,149
World of Tanks,46
New Pok<U+00E9>mon Snap,61
Biomutant,41
Jackbox Party Packs,162
The Elder Scrolls Online,124
Grand Theft Auto V,2
Rogue Company,175
Marbles On Stream,112
MapleStory,131
Fall Guys: Ultimate Knockout,55
Street Fighter V,88
SMITE,44
Dying Light 2: Stay Human,119
Dread Hunger,92
Hood: Outlaws & Legends,76
Super Smash Bros. Melee,130
I'm Only Sleeping,133
StarCraft II,62
Makers & Crafting,166
Games + Demos,60
FIFA Online 4,139
osu!,93
Trials Rising,178
Dark Souls III,90
Fortnite,6
Heroes of the Storm,95
Watch Parties,123
Knockout City,40
Slots,14
Dungeons & Dragons,64
Virtual Casino,190
Albion Online,194
Counter-Strike: Global Offensive,8
VRChat,75
Football Manager 2021,180
Apex Legends,9
Heroes of Might and Magic III: The Restoration of Erathia,81
Gears 5,143
Outriders,158
NBA 2K21,43
Mass Effect Legendary Edition,50
Pummel Party,144
Bloodborne,146
Assetto Corsa Competizione,138
Stardew Valley,117
Just Chatting,1
Elite: Dangerous,150
Call of Duty: Black Ops Cold War,38
Conqueror's Blade,173
Gartic Phone,63
Hearthstone,19
FIFA 21,12
Dark Souls,110
Swords of Legends Online,121
Miitopia,120
Call Of Duty: Modern Warfare,27
Halo: The Master Chief Collection,187
Crypto,87
Slay the Spire,137
VALORANT,4
Escape from Tarkov,21
RimWorld,181
Ark: Survival Evolved,48
Enlisted,108
Rust,23
Super Smash Bros. Ultimate,79
Roblox,67
DEVOUR,128
Destiny 2,29
MLB The Show 21,86
Stream Raiders,172
Madden NFL 21,189
TrackMania,94
Super Mario World,200
Brawl Stars,115
Mario Kart 8,101
Paladins,174
Hunt: Showdown,89
League of Legends,3
Teamfight Tactics,22
Rocket League,18
Tibia,77
Music,16
Epic Seven,161
League of Legends: Wild Rift,72
Gwent: The Witcher Card Game,155
PLAYERUNKNOWN'S BATTLEGROUNDS,26
Resident Evil 4,160
Farming Simulator 19,185
The Sims 4,97
Among Us,28
Sea of Thieves,54
Summoners War: Sky Arena,176
LOST ARK,47
Chess,30
Microsoft Flight Simulator,182
Path of Exile,32
Special Events,42
Dark Souls II,184
Dota 2,11
Animal Crossing: New Horizons,102
Warcraft III,104
Mortal Kombat 11,177
Old School RuneScape,56
Lineage 2,191
Legends of Runeterra,99
StarCraft,126
Minecraft,5
Divinity: Original Sin II,156
Tabletop RPGs,91
Super Mario 64,199
Euro Truck Simulator 2,129
Arma 3,164
Tom Clancy's Rainbow Six Siege,15
Super Mario Odyssey,165
Battlefield V,154
ASMR,37
Clash Royale,66
GeoGuessr,85
Garena Free Fire,31
First Class Trouble,145
Worms W.M.D,159
Motorsport Manager,83
Terraria,114
Valheim,107
Diablo III,151
Forza Horizon 4,183
Project Zomboid,142
7 Days to Die,100
Phasmophobia,59
Call of Duty: Warzone,7
Subnautica,109
Star Citizen,118
Dofus,192
Resident Evil Village,10
Dead by Daylight,17
Magic: The Gathering,51
Warframe,140
Science & Technology,80
Call of Duty: Mobile,134
"Pools, Hot Tubs, and Beaches",57
Assassin's Creed Valhalla,147
